Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Olmsted County, MN",27109,None checked,1,1991,30.35,38.83,38.91,3353.22,26.62,9.48
2018-01-01,"Oneida County, NY",36065,None checked,1,2449,28.49,38.71,38.91,3321.6,28.12,12.19
2018-01-01,"Cumberland County, PA",42041,None checked,1,2583,29.43,38.75,38.91,3343.0,26.86,10.69
2018-01-01,"Skagit County, WA",53057,None checked,1,1364,28.92,38.79,38.91,3399.03,27.88,10.09
2018-01-01,"Unidentified Counties, WA",53999,None checked,1,11883,28.27,38.64,38.91,3357.8,27.65,10.94
2018-01-01,"Unidentified Counties, LA",22999,None checked,1,18711,26.78,38.0,37.91,3170.73,28.55,11.94
2018-01-01,"Calhoun County, AL",01015,None checked,1,1250,26.69,38.1,38.24,3165.03,28.89,10.44
2018-01-01,"Bibb County, GA",13021,None checked,1,2045,26.9,37.93,38.24,3077.89,28.5,12.16
2018-01-01,"Washington County, AR",05143,None checked,1,3197,27.89,38.28,38.49,3248.18,27.24,10.56
2018-01-01,"Collier County, FL",12021,None checked,1,3138,29.45,38.36,38.49,3278.02,26.97,10.53
2018-01-01,"Escambia County, FL",12033,None checked,1,3708,27.6,38.23,38.49,3220.88,27.71,10.48
2018-01-01,"Fulton County, GA",13121,None checked,1,12504,30.02,38.31,38.49,3152.82,26.44,10.97
2018-01-01,"Douglas County, KS",20045,None checked,1,1107,29.42,38.43,38.49,3274.36,27.26,11.72
2018-01-01,"Unidentified Counties, KS",20999,None checked,1,16299,27.55,38.43,38.49,3300.15,27.87,11.01
2018-01-01,"San Juan County, NM",35045,None checked,1,1427,27.53,38.61,38.49,3236.98,28.32,9.67
2018-01-01,"Ventura County, CA",06111,None checked,1,8975,30.08,38.65,38.74,3323.56,26.95,12.39
2018-01-01,"Whitfield County, GA",13313,None checked,1,1295,27.3,38.41,38.74,3281.91,28.93,12.19
2018-01-01,"Johnson County, IA",19103,None checked,1,1638,30.71,38.54,38.74,3340.08,26.14,11.05
2018-01-01,"Frederick County, MD",24021,None checked,1,2928,30.25,38.5,38.74,3322.25,26.62,10.9
2018-01-01,"Kent County, MI",26081,None checked,1,8526,28.88,38.55,38.74,3306.82,27.74,11.66
2018-01-01,"Greene County, MO",29077,None checked,1,3293,27.62,38.5,38.74,3329.96,27.16,11.47
2018-01-01,"Sheboygan County, WI",55117,None checked,1,1250,28.85,38.62,38.74,3338.53,27.72,12.29
2018-01-01,"Barnstable County, MA",25001,None checked,1,1489,30.74,38.79,38.99,3372.22,26.37,11.17
2018-01-01,"Bay County, MI",26017,None checked,1,928,27.87,38.78,38.99,3340.79,28.58,13.94
2018-01-01,"Ulster County, NY",36111,None checked,1,1519,29.84,38.85,38.99,3342.57,27.8,10.94
2018-01-01,"Clackamas County, OR",41005,None checked,1,3756,30.25,38.82,38.99,3392.93,26.87,11.73
2018-01-01,"Whatcom County, WA",53073,None checked,1,2155,29.66,38.84,38.99,3405.06,26.4,10.4
2018-01-01,"East Baton Rouge Parish, LA",22033,None checked,1,5648,28.14,38.03,38.07,3122.59,27.91,10.42
2018-01-01,"Pulaski County, AR",05119,None checked,1,5065,28.03,38.16,38.32,3170.0,28.04,10.27
2018-01-01,"Lafayette Parish, LA",22055,None checked,1,3225,28.41,38.24,38.32,3235.54,27.12,13.88
2018-01-01,"Boone County, MO",29019,None checked,1,1975,29.18,38.4,38.32,3244.32,26.98,11.24
2018-01-01,"St. Louis County, MO",29189,None checked,1,11243,29.63,38.24,38.32,3216.87,26.95,11.04
2018-01-01,"Lexington County, SC",45063,None checked,1,3162,28.42,38.28,38.32,3257.82,28.44,11.41
2018-01-01,"Harris County, TX",48201,None checked,1,66760,28.82,38.19,38.32,3203.85,27.27,9.86
2018-01-01,"Bay County, FL",12005,None checked,1,2148,27.7,38.37,38.57,3283.45,27.54,10.13
2018-01-01,"Lee County, FL",12071,None checked,1,6710,28.58,38.38,38.57,3253.98,27.27,10.09
2018-01-01,"Okaloosa County, FL",12091,None checked,1,2665,28.2,38.28,38.57,3266.62,26.77,12.19
2018-01-01,"St. Lucie County, FL",12111,None checked,1,3103,28.6,38.39,38.57,3239.22,27.48,10.16
2018-01-01,"Unidentified Counties, IL",17999,None checked,1,20906,27.68,38.32,38.57,3292.49,28.52,12.12
2018-01-01,"Allen County, IN",18003,None checked,1,5166,27.9,38.51,38.57,3249.69,27.83,11.52
2018-01-01,"Penobscot County, ME",23019,None checked,1,1364,28.48,38.53,38.57,3350.06,28.54,13.94
2018-01-01,"Howard County, MD",24027,None checked,1,3341,31.66,38.42,38.57,3238.16,25.93,10.53
2018-01-01,"Comanche County, OK",40031,None checked,1,1672,26.47,38.36,38.57,3257.03,27.64,10.58
2018-01-01,"Greenville County, SC",45045,None checked,1,6156,28.92,38.37,38.57,3268.89,27.25,12.52
2018-01-01,"Brazos County, TX",48041,None checked,1,2561,28.32,38.32,38.57,3260.66,27.16,9.89
2018-01-01,"Dallas County, TX",48113,None checked,1,37497,28.5,38.4,38.57,3233.75,25.95,9.77
2018-01-01,"Yuma County, AZ",04027,None checked,1,2952,27.09,38.58,38.82,3338.27,28.56,9.72
